Tesla
Amazon
Microsoft
BerkshireHathaway
Google
Google
Software
Microsoft
BloombergLP
Facebook
Walmart
Walmart
Walmart
KochIndustries
DellComputers
Nike
Investments
HedgeFunds
HedgeFunds
EsteeLauder
HedgeFunds
MoneyManagement
Newspapers
Semiconductors
HedgeFunds
Oil&Gas
HedgeFunds
HomeImprovementStores
Investments
Apple
RealEstate
WirelessNetworkingGear
BusinessSoftware
VentureCapital
DiscountBrokerage
Airbnb
Facebook
HedgeFunds
eBay
Roofing
DallasCowboys
Investments
Airbnb
Movies
Oil&Gas
WhatsApp
Intel
PlumbingFixtures
SatelliteTV
HomeDepot
HedgeFunds
Investments
NewEnglandPatriots
BusinessSoftware
Insurance
OnlineRetail
Walmart
Media
PrivateEquity
HedgeFunds
Pipelines
Semiconductors
HedgeFunds
Retail
FoodDistribution
FoodDistribution
HomeDepot
HealthcareIT
VentureCapital
VentureCapital
CarnivalCruises
Apparel
HedgeFunds
Software
Pipelines
Semiconductors
HedgeFunds
HedgeFunds
HedgeFunds
Snapchat
HedgeFunds
RealEstate
Microsoft
Twitter
Snapchat
VentureCapital
Staffing
RealEstate
NaturalGas
Retail
Investments
RealEstate
ComputerHardware
ComputerHardware
HoustonRockets
AutoLoans
NewBalance
CableTelevision
ZoomVideoCommunications
MoneyManagement
